,plant_name,CEMS,meanMonthlyEmission,hoursWithData,hoursWithNoData,standard,emission_exceedance,revised_exceedance,charge_for_data,charge_for_nodata
231,"NALCO Ltd.,Smelter Plant",CEMS-9,14.65762746,535,185,100,-85.34237254,0,0,1496835
232,NTPC Limited (TSTPS),CEMS-3,64.9950029,590,130,100,-35.0049971,0,0,1051830
233,NTPC Limited (TSTPS),CEMS-5,37.80548298,589,131,100,-62.19451702,0,0,1059921
234,NTPC Limited (TSTPS),CEMS-6,46.52898223,590,130,100,-53.47101777,0,0,1051830
235,NTPC Limited (TTPS),CEMS-4,61.45367278,578,142,100,-38.54632722,0,0,1148922
236,NTPC Limited (TTPS),CEMS-6,54.11054256,591,129,100,-45.88945744,0,0,1043739
237,NTPC Limited (TTPS),UNIT-1,52.57300486,595,125,100,-47.42699514,0,0,1011375
238,Narbheram Power and Steel Pvt. Ltd.,CEMS-1,44.86077796,608,112,100,-55.13922204,0,0,906192
239,Nava Bharat Ventures Ltd,CEMS-1,33.3131694,155,565,50,-16.6868306,0,0,4825665
240,Nava Bharat Ventures Ltd,CEMS-2,15.04789783,598,122,50,-34.95210217,0,0,1042002
241,Neelachal Ispat Nigam Limited,CEMS-3,3.912466667,227,493,100,-96.08753333,0,0,3988863
242,Neelachal Ispat Nigam Limited,CEMS-4,26.18910526,103,617,100,-73.81089474,0,0,4992147
243,"OCL India Ltd,Cement Unit",CEMS--9,12.14267623,521,199,30,-17.85732377,0,0,1735479
244,"OCL India Ltd,Cement Unit",CEMS-1,15.59805919,522,198,30,-14.40194081,0,0,1726758
245,"OCL India Ltd,Cement Unit",CEMS-10,16.28648091,519,201,30,-13.71351909,0,0,1752921
246,"OCL India Ltd,Cement Unit",CEMS-2,9.780643794,521,199,30,-20.21935621,0,0,1735479
247,"OCL India Ltd,Cement Unit",CEMS-3,9.681131557,521,199,30,-20.31886844,0,0,1735479
248,"OCL India Ltd,Cement Unit",CEMS-4,4.477238003,521,199,50,-45.522762,0,0,1699659
249,"OCL India Ltd,Cement Unit",CEMS-5,14.41321518,520,200,30,-15.58678482,0,0,1744200
250,"OCL India Ltd,Cement Unit",CEMS-6,14.7415493,521,199,30,-15.2584507,0,0,1735479
251,"OCL India Ltd,Cement Unit",CEMS-7,15.31966873,520,200,30,-14.68033127,0,0,1744200
252,"OCL India Ltd,Cement Unit",CEMS-8,5.020737681,520,200,30,-24.97926232,0,0,1744200
253,Odisha Power Generation Corporation LTD,CEMS-1,84.53890875,575,145,100,-15.46109125,0,0,1173195
254,Odisha Power Generation Corporation LTD,CEMS-2,86.40867183,646,74,100,-13.59132817,0,0,598734
255,Patnaik Minerals Pvt. Ltd.,CEMS-1,0,526,194,100,-100,0,0,1569654
256,Patnaik Minerals Pvt. Ltd.,CEMS-2,0,180,540,100,-100,0,0,4369140
257,Patnaik Steels and Alloys Ltd.,CEMS-1,58.89071307,567,153,100,-41.10928693,0,0,1237923
258,Penguine Trading and Agencies Ltd(Seven Star),CEMS-1,87.02675281,281,439,100,-12.97324719,0,0,3551949
